Ref,Val,Package,PosX,PosY,Rot,Side
"R160","1K","R_0805_2012Metric",349.564000,-238.448000,0.000000,top
"R161","100","R_0805_2012Metric",350.021000,-221.584000,0.000000,top
"R162","1K","R_0805_2012Metric",370.102000,-169.559000,0.000000,top
"R164","1K","R_0805_2012Metric",371.731000,-191.791000,0.000000,top
"R165","100","R_0805_2012Metric",373.246000,-174.965000,0.000000,top
"R166","1K","R_0805_2012Metric",371.671000,-204.713000,0.000000,top
"R167","100","R_0805_2012Metric",371.731000,-187.890000,0.000000,top
"R168","1K","R_0805_2012Metric",371.731000,-225.472000,0.000000,top
"R169","100","R_0805_2012Metric",371.731000,-208.615000,0.000000,top
"R170","1K","R_0805_2012Metric",371.611000,-238.447000,0.000000,top
"R171","100","R_0805_2012Metric",371.701000,-221.570000,0.000000,top
"R172","0.22R","R_2512_6332Metric",391.311000,-201.607000,-90.000000,top
"R173","0.22R","R_2512_6332Metric",391.311000,-222.145000,-90.000000,top
"R174","0.22R","R_2512_6332Metric",385.201000,-201.607000,-90.000000,top
"R175","0.22R","R_2512_6332Metric",385.201000,-222.145000,-90.000000,top
"R176","1.5K","R_0805_2012Metric",406.819000,-175.019000,0.000000,top
"R177","1K","R_0805_2012Metric",406.819000,-187.979000,0.000000,top
"R178","1.5K","R_0805_2012Metric",406.819000,-191.880000,0.000000,top
"R179","1K","R_0805_2012Metric",406.819000,-204.818000,0.000000,top
"R180","1.5K","R_0805_2012Metric",406.819000,-208.718000,0.000000,top
"R181","1K","R_0805_2012Metric",406.819000,-221.709000,0.000000,top
"R182","1.5K","R_0805_2012Metric",406.819000,-225.610000,0.000000,top
"R183","1K","R_0805_2012Metric",406.819000,-238.523000,0.000000,top
"R184","1.5K","R_0805_2012Metric",428.615000,-183.005000,0.000000,top
