 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199926846611e+01  2.618784163693e-04 -1.004299714660e-04 -1.011861675339e-05 
 2.160000000000e-04  7.206975108524e-01  7.205447549120e-01  5.681449811895e-02 -5.564802967051e+00 
 2.170000000000e-04  7.134894601510e-01  7.186113195185e-01  5.680383099213e-02 -5.513633747254e+00 
 2.180000000000e-04  7.063614867855e-01  7.166997884537e-01  5.679324308871e-02 -5.462326688575e+00 
 2.190000000000e-04  6.993136362708e-01  7.148135797874e-01  5.678275456069e-02 -5.410888477258e+00 
 2.200000000000e-04  6.923459528132e-01  7.129560960592e-01  5.677238576940e-02 -5.359325414200e+00 
 2.210000000000e-04  6.854584797528e-01  7.111306573930e-01  5.676215690245e-02 -5.307643422590e+00 
 2.220000000000e-04  6.786512598416e-01  7.093404301016e-01  5.675208755602e-02 -5.255848062442e+00 
 2.230000000000e-04  6.719243353366e-01  7.075883548070e-01  5.674219630345e-02 -5.203944552204e+00 
 2.240000000000e-04  6.652777479067e-01  7.058770786223e-01  5.673250027736e-02 -5.151937797193e+00 
 2.250000000000e-04  6.587115383512e-01  7.042088959713e-01  5.672301479269e-02 -5.099832424147e+00 
 2.260000000000e-04  6.522257461496e-01  7.025857020731e-01  5.671375303493e-02 -5.047632820776e+00 
 2.270000000000e-04  6.458204088642e-01  7.010089620691e-01  5.670472583412e-02 -4.995343178822e+00 
 2.280000000000e-04  6.394955614276e-01  6.994796973437e-01  5.669594153596e-02 -4.942967538965e+00 
 2.290000000000e-04  6.332512353538e-01  6.979984890447e-01  5.668740597310e-02 -4.890509835803e+00 
 2.300000000000e-04  6.270874579090e-01  6.965654973501e-01  5.667912253089e-02 -4.837973941280e+00 
 2.310000000000e-04  6.210042512774e-01  6.951804938888e-01  5.667109229421e-02 -4.785363705099e+00 
 2.320000000000e-04  6.150016317566e-01  6.938429040043e-01  5.666331425767e-02 -4.732682991013e+00 
